word,pos,cefr
bank(river),noun,A1
bank(money),noun,A1
buy,verb,A1
an,indefinitearticle,A1
bar,noun,A1
by,prep,A1
about,prep,A1
about,adv,A1
baseball,noun,A1
bye,exclam,A1
above,prep,A1
above,adv,A1
basketball,noun,A1
cafe,noun,A1
across,prep,A1
across,adv,A1
bathroom,noun,A1
cake,noun,A1
action,noun,A1
activity,noun,A1
be,verb,A1
be,auxiliaryv,A1
call,verb,A1
call,noun,A1
camera,noun,A1
beach,noun,A1
can,modalv,A1
actor,noun,A1
actress,noun,A1
beautiful,adj,A1
cannot,modalv,A1
add,verb,A1
because,conj,A1
capital,noun,A1
capital,adj,A1
address,noun,A1
become,verb,A1
car,noun,A1
adult,noun,A1
bed,noun,A1
card,noun,A1
advice,noun,A1
bedroom,noun,A1
career,noun,A1
afraid,adj,A1
beer,noun,A1
carrot,noun,A1
after,prep,A1
before,prep,A1
carry,verb,A1
afternoon,noun,A1
begin,verb,A1
cat,noun,A1
again,adv,A1
beginning,noun,A1
CD,noun,A1
behind,prep,A1
behind,adv,A1
cent,noun,A1
age,noun,A1
ago,adv,A1
believe,verb,A1
center,noun,A1
below,adv,A1
below,prep,A1
chair,noun,A1
agree,verb,A1
air,noun,A1
best,adj,A1
change,verb,A1
change,noun,A1
airport,noun,A1
better,adj,A1
chart,noun,A1
all,det,A1
all,pron,A1
between,prep,A1
cheap,adj,A1
also,adv,A1
bicycle,noun,A1
check,verb,A1
always,adv,A1
big,adj,A1
cheese,noun,A1
bike,noun,A1
chicken,noun,A1
amazing,adj,A1
and,conj,A1
bill,noun,A1
child,noun,A1
angry,adj,A1
bird,noun,A1
chocolate,noun,A1
animal,noun,A1
birthday,noun,A1
choose,verb,A1
another,det,A1
another,pron,A1
black,adj,A1
black,noun,A1
city,noun,A1
answer,noun,A1
answer,verb,A1
blog,noun,A1
class,noun,A1
blond,adj,A1
classroom,noun,A1
any,det,A1
any,pron,A1
anyone,pron,A1
blue,adj,A1
blue,noun,A1
clean,adj,A1
clean,verb,A1
anything,pron,A1
boat,noun,A1
climb,verb,A1
apartment,noun,A1
body,noun,A1
clock,noun,A1
book,noun,A1
close,verb,A1
apple,noun,A1
boot,noun,A1
clothes,noun,A1
April,noun,A1
area,noun,A1
bored,adj,A1
club,noun,A1
arm,noun,A1
boring,adj,A1
coat,noun,A1
born,verb,A1
coffee,noun,A1
around,prep,A1
around,adv,A1
arrive,verb,A1
both,det,A1
both,pron,A1
cold,adj,A1
cold,noun,A1
art,noun,A1
bottle,noun,A1
college,noun,A1
article,noun,A1
box,noun,A1
color,noun,A1
artist,noun,A1
boy,noun,A1
come,verb,A1
boyfriend,noun,A1
common,adj,A1
as,prep,A1
ask,verb,A1
bread,noun,A1
company,noun,A1
break,verb,A1
break,noun,A1
compare,verb,A1
at,prep,A1
August,noun,A1
breakfast,noun,A1
complete,adj,A1
complete,verb,A1
aunt,noun,A1
bring,verb,A1
computer,noun,A1
brother,noun,A1
concert,noun,A1
away,adv,A1
awesome,adj,A1
brown,adj,A1
brown,noun,A1
conversation,noun,A1
build,verb,A1
cook,verb,A1
baby,noun,A1
back,noun,A1
back,adv,A1
building,noun,A1
cooking,noun,A1
bad,adj,A1
bus,noun,A1
cool,adj,A1
bag,noun,A1
business,noun,A1
correct,adj,A1
correct,verb,A1
ball,noun,A1
busy,adj,A1
cost,noun,A1
cost,verb,A1
banana,noun,A1
but,conj,A1
could,modalv,A1
country,noun,A1
course,noun,A1
cousin,noun,A1
cow,noun,A1
cream,noun,A1
create,verb,A1
culture,noun,A1
cup,noun,A1
customer,noun,A1
cut,verb,A1
dad,noun,A1
dance,noun,A1
dance,verb,A1
dancer,noun,A1
dancing,noun,A1
dangerous,adj,A1
dark,adj,A1
date,noun,A1
daughter,noun,A1
day,noun,A1
dear,adj,A1
December,noun,A1
decide,verb,A1
delicious,adj,A1
describe,verb,A1
description,noun,A1
design,noun,A1
design,verb,A1
desk,noun,A1
detail,noun,A1
dialogue,noun,A1
dictionary,noun,A1
die,verb,A1
diet,noun,A1
difference,noun,A1
different,adj,A1
difficult,adj,A1
dinner,noun,A1
dirty,adj,A1
discuss,verb,A1
dish,noun,A1
do,verb,A1
do,auxiliaryv,A1
doctor,noun,A1
dog,noun,A1
dollar,noun,A1
door,noun,A1
down,adv,A1
down,prep,A1
downstairs,adv,A1
draw,verb,A1
dress,noun,A1
dress,verb,A1
drink,noun,A1
drink,verb,A1
drive,verb,A1
driver,noun,A1
during,prep,A1
DVD,noun,A1
each,det,A1
each,pron,A1
each,adv,A1
ear,noun,A1
early,adj,A1
early,adv,A1
east,noun,A1
east,adj,A1
east,adv,A1
easy,adj,A1
eat,verb,A1
forget,verb,A1
hot,adj,A1
live,verb,A1
egg,noun,A1
form,noun,A1
